thread_id,neutral,oppose,support,w_total,support_rate,oppose_rate,neutral_rate,controversy,resonance
UgwLEkq_WLhhHRR5BJZ4AaABAg,2.0,3.0,0.0,5.0,0.0,0.59999999988,0.39999999992,0.40000000012000003,0.0
UgwLF1zeOPot9GSo78p4AaABAg,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
UgwLXmxE1pa5uuUymlN4AaABAg,44.0,0.0,0.0,44.0,0.0,0.0,0.9999999999772728,1.0,0.0
UgwLZOlq3VQQYq9rnMp4AaABAg,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
UgwLbNcVdUCEvN1mpdl4AaABAg,55.0,1.0,0.0,56.0,0.0,0.01785714285682398,0.9821428571253189,0.9821428571431761,0.0
UgwLi9Qc97TkXKnAAg94AaABAg,38.0,0.0,0.0,38.0,0.0,0.0,0.9999999999736843,1.0,0.0
UgwLjBS495tDnoSGpcx4AaABAg,0.0,3.0,0.0,3.0,0.0,0.9999999996666666,0.0,3.33333360913457e-10,0.0
UgwLo8I6rHNdV6k7aoV4AaABAg,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
UgwLunJ_R23j2vDJuYR4AaABAg,6.0,0.0,0.0,6.0,0.0,0.0,0.9999999998333333,1.0,0.0
UgwLyU2SbF0dYDCOZDB4AaABAg,73.0,16.0,0.0,89.0,0.0,0.17977528089685646,0.8202247190919075,0.8202247191031435,0.0
UgwMCbZifh_sn4lhYM94AaABAg,1.0,1.0,0.0,2.0,0.0,0.49999999975,0.49999999975,0.50000000025,0.0
UgwMFlJA0ZsvHUgFEfN4AaABAg,48.0,0.0,13.0,61.0,0.213114754094867,0.0,0.7868852458887396,0.786885245905133,0.213114754094867
UgwMIoRRDbPegbS7W7l4AaABAg,15.0,0.0,0.0,15.0,0.0,0.0,0.9999999999333333,1.0,0.0
UgwMW_qW0RV1UX3VPfF4AaABAg,37.0,0.0,0.0,37.0,0.0,0.0,0.9999999999729731,1.0,0.0
UgwMYTI19QZvafUYi_54AaABAg,17.0,2.0,0.0,19.0,0.0,0.10526315788919667,0.8947368420581717,0.8947368421108033,0.0
UgwMefOwfWjdmEJFeR94AaABAg,5.0,0.0,0.0,5.0,0.0,0.0,0.9999999998,1.0,0.0
UgwMgMpcrGdjNJWdoIt4AaABAg,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
UgwMhGcxyMEcF2CHL4J4AaABAg,0.0,1.0,0.0,1.0,0.0,0.9999999989999999,0.0,1.000000082740371e-09,0.0
UgwMlJ9vUOPiLYqusrB4AaABAg,21.0,0.0,0.0,21.0,0.0,0.0,0.999999999952381,1.0,0.0
UgwMqXXry_1TGSeJVwd4AaABAg,8.0,0.0,0.0,8.0,0.0,0.0,0.999999999875,1.0,0.0
UgwMu_4bTllrrLAfeId4AaABAg,64.0,2.0,0.0,66.0,0.0,0.030303030302571164,0.9696969696822773,0.9696969696974288,0.0
UgwMuudNdDleu957F8F4AaABAg,4.0,16.0,0.0,20.0,0.0,0.79999999996,0.19999999999,0.20000000003999996,0.0
UgwN1gaupDjJTbSqFwp4AaABAg,2.0,0.0,0.0,2.0,0.0,0.0,0.9999999995,1.0,0.0
UgwN680y2rFj4vZqrDB4AaABAg,23.0,0.0,0.0,23.0,0.0,0.0,0.9999999999565218,1.0,0.0
UgwNEOzoxa80o1Dkkst4AaABAg,4.0,0.0,0.0,4.0,0.0,0.0,0.99999999975,1.0,0.0
UgwNPd809mGn-Yj7h3x4AaABAg,2.0,2.0,0.0,4.0,0.0,0.499999999875,0.499999999875,0.500000000125,0.0
UgwNPmFXsBsA5X9ug5p4AaABAg,20.0,1.0,87.0,108.0,0.8055555555480967,0.009259259259173525,0.1851851851834705,0.20370370371107682,0.8055555555480967
UgwNSyBEfvgmw4uKJ7J4AaABAg,25.0,14.0,1.0,40.0,0.024999999999375,0.34999999999125003,0.624999999984375,0.675000000008125,0.024999999999375
UgwNVNgfpGgmzuntvix4AaABAg,67.0,23.0,0.0,90.0,0.0,0.25555555555271603,0.7444444444361729,0.744444444447284,0.0
UgwNXZ5ypX-aaS4Ic0V4AaABAg,1.0,0.0,0.0,1.0,0.0,0.0,0.9999999989999999,1.0,0.0
